Country,Sex,Age Group,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
Iraq,female,adult,529.0,23.0,23.0,23.0,2.0,4.0,2.0,2.0,2.0,0.0,529.0,23.0,23.0,23.0,2.0,361.0,19.0,19.0,19.0,2.0
Iraq,female,minor,625.0,25.0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,625.0,25.0,25.0,25.0,2.0,400.0,20.0,20.0,20.0,2.0
Iraq,male,adult,676.0,26.0,26.0,26.0,1.0,676.0,26.0,26.0,26.0,1.0,2116.0,46.0,46.0,46.0,2.0,784.0,28.0,28.0,28.0,1.0
Iraq,male,minor,576.0,24.0,24.0,24.0,2.0,576.0,24.0,24.0,24.0,2.0,1764.0,42.0,42.0,42.0,3.0,625.0,25.0,25.0,25.0,2.0
Pakistan,female,adult,1.0,1.0,1.0,1.0,1000001.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,1000001.0
Pakistan,female,minor,1.0,1.0,1.0,1.0,1000001.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,1000001.0
Pakistan,male,adult,3481.0,59.0,59.0,59.0,0.0,3481.0,59.0,59.0,59.0,0.0,4225.0,65.0,65.0,65.0,0.0,8281.0,91.0,91.0,91.0,1.0
Pakistan,male,minor,4.0,2.0,2.0,2.0,0.0,9.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0
Palestine,female,adult,49.0,7.0,7.0,7.0,0.0,100.0,10.0,10.0,10.0,1.0,49.0,7.0,7.0,7.0,0.0,144.0,12.0,12.0,12.0,1.0
Palestine,female,minor,64.0,8.0,8.0,8.0,1.0,121.0,11.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,8.0,8.0,8.0,1.0
Palestine,male,adult,2209.0,47.0,47.0,47.0,0.0,2209.0,47.0,47.0,47.0,0.0,625.0,25.0,25.0,25.0,0.0,25.0,5.0,5.0,5.0,0.0
Palestine,male,minor,3249.0,57.0,57.0,57.0,6.0,196.0,14.0,14.0,14.0,1.0,3249.0,57.0,57.0,57.0,6.0,1369.0,37.0,37.0,37.0,4.0
Sierra Leone,female,adult,49.0,7.0,7.0,7.0,0.0,25.0,5.0,5.0,5.0,0.0,100.0,10.0,10.0,10.0,0.0,49.0,7.0,7.0,7.0,0.0
Sierra Leone,female,minor,49.0,7.0,7.0,7.0,1.0,9.0,3.0,3.0,3.0,0.0,16.0,4.0,4.0,4.0,0.0,49.0,7.0,7.0,7.0,1.0
Sierra Leone,male,adult,4.0,2.0,2.0,2.0,0.0,121.0,11.0,11.0,11.0,0.0,4.0,2.0,2.0,2.0,0.0,16.0,4.0,4.0,4.0,0.0
Sierra Leone,male,minor,121.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,169.0,13.0,13.0,13.0,1.0,121.0,11.0,11.0,11.0,1.0
Somalia,female,adult,225.0,15.0,15.0,15.0,3.0,25.0,5.0,5.0,5.0,1.0,100.0,10.0,10.0,10.0,2.0,225.0,15.0,15.0,15.0,3.0
Somalia,female,minor,4.0,2.0,2.0,2.0,0.0,9.0,3.0,3.0,3.0,0.0,4.0,2.0,2.0,2.0,0.0,25.0,5.0,5.0,5.0,0.0
Somalia,male,adult,81.0,9.0,9.0,9.0,1.0,4.0,2.0,2.0,2.0,0.0,16.0,4.0,4.0,4.0,0.0,81.0,9.0,9.0,9.0,1.0
Somalia,male,minor,25.0,5.0,5.0,5.0,0.0,25.0,5.0,5.0,5.0,0.0,36.0,6.0,6.0,6.0,0.0,25.0,5.0,5.0,5.0,0.0
Syria,female,adult,2704.0,52.0,52.0,52.0,1.0,484.0,22.0,22.0,22.0,0.0,2704.0,52.0,52.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0
Syria,female,minor,2025.0,45.0,45.0,45.0,0.0,784.0,28.0,28.0,28.0,0.0,2025.0,45.0,45.0,45.0,0.0,169.0,13.0,13.0,13.0,0.0
Syria,male,adult,10000.0,100.0,100.0,100.0,0.0,10000.0,100.0,100.0,100.0,0.0,8464.0,92.0,92.0,92.0,0.0,961.0,31.0,31.0,31.0,0.0
Syria,male,minor,3136.0,56.0,56.0,56.0,0.0,1369.0,37.0,37.0,37.0,0.0,3136.0,56.0,56.0,56.0,0.0,36.0,6.0,6.0,6.0,0.0
Türkiye,female,adult,25.0,5.0,5.0,5.0,0.0,121.0,11.0,11.0,11.0,0.0,25.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0
Türkiye,female,minor,1.0,1.0,1.0,1.0,0.0,9.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0
Türkiye,male,adult,4489.0,67.0,67.0,67.0,0.0,25.0,5.0,5.0,5.0,0.0,4489.0,67.0,67.0,67.0,0.0,1156.0,34.0,34.0,34.0,0.0
Türkiye,male,minor,0.0,0.0,0.0,0.0,0.0,64.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yemen,female,adult,16.0,4.0,4.0,4.0,0.0,9.0,3.0,3.0,3.0,0.0,16.0,4.0,4.0,4.0,0.0,16.0,4.0,4.0,4.0,0.0
Yemen,female,minor,16.0,4.0,4.0,4.0,3999999.0,4.0,2.0,2.0,2.0,1999999.0,36.0,6.0,6.0,6.0,5999999.0,16.0,4.0,4.0,4.0,3999999.0
Yemen,male,adult,81.0,9.0,9.0,9.0,0.0,4.0,2.0,2.0,2.0,0.0,81.0,9.0,9.0,9.0,0.0,784.0,28.0,28.0,28.0,0.0
Yemen,male,minor,25.0,5.0,5.0,5.0,4999999.0,9.0,3.0,3.0,3.0,2999999.0,36.0,6.0,6.0,6.0,5999999.0,25.0,5.0,5.0,5.0,4999999.0
